person,0,1,2,3,4,5,6,7,8,9,10,11,12
R3,0,0.0,0,0.0,0,30.0,30,30.0,30,30.0,30,30.0,30
V1,60,60.0,60,60.0,60,60.0,60,60.0,60,60.0,60,30.0,30
V3,0,12.0,11,10.0,9,8.0,7,6.0,5,4.0,3,2.0,1
V5,28,28.0,10,10.0,10,10.0,10,10.0,10,10.0,2,2.0,2
V6,10,25.0,25,25.0,25,18.0,18,18.0,18,12.0,12,12.0,12
V7,2,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1
R1,30,30.0,30,30.0,20,20.0,20,15.0,15,15.0,10,10.0,10
F3,30,30.0,30,30.0,30,15.0,15,15.0,15,0.0,0,0.0,0
R8,60,10.0,10,10.0,10,10.0,10,10.0,10,10.0,10,10.0,60
F2,15,15.0,15,15.0,15,12.0,12,12.0,12,12.0,12,10.0,10
D2,8,8.0,8,8.0,4,4.0,4,4.0,4,2.0,2,2.0,2
R5,9,5.5,5,4.5,4,3.5,3,2.5,2,1.5,1,0.5,0
R7,35,35.0,35,35.0,35,30.0,30,30.0,20,20.0,20,0.0,0
F1,13,12.0,11,10.0,9,8.0,7,6.0,5,4.0,3,2.0,1
